from_user,user_followers_count,user_friends_count
AlecHitchman1,3392,5001
alecwaters,182,635
aledprysw,261,301
aleena8383,,
Aleksan40,47,124
AleksSierz,1357,518
AlettaNorval,825,478
alevelprotest,,
Alevelprotests,6,2
alex_kershaw,281,828
alex_kovaleski,4509,4870
Alex_Potten,26,408
Alex_the_Beard,1809,2301
alex4knn,1737,2013
alexa_warrior,685,1938
alexanderstott,97,533
AlexandraCHawes,63,60
AlexandraFacon,13,142
alexandrinepdec,1321,1212
AlexAshman,765,83
Alexbarnett77,2568,4782
alexbellars,6115,6723
AlexBerry_28,59,68
AlexBevington,18,275
alexbowie_,273,144
alexcburrows,3735,2533
alexchivers1995,273,325
AlexCoppocBunce,2979,4416
alexezard_,322,197
AlexFinnis,3254,1607
alexgdowding,1169,794
alexgoestech,476,1323
alexgomess0,20,88
AlexGrant_HB,481,602
alexinaa_o,2031,1101
AlexisHarrow,1196,3624
AlexJamesEvans,48,190
AlexJDelaney,1039,657
AlexJMarlow,859,1884
AlexJohnsonLAG,19,218
AlexLthrRide,306,346
AlexMacKenzie11,2013,499
AlexMacKinnon13,63,616
alexmella24,141,212
AlexMLB98,195,930
alexmx__,97,129
alexnckelly,651,1116
AlexOlayaCastro,,
Alexpazzer,107,358
Alexqverycalm,258,264
AlexRidge2,338,250
alexroy975,18,182
AlexShellum,,
alexwinter1118,,
AlexYounge,216,374
alfaudd,10,73
alfiegreaves1,,
AlfieTurner2,169,2499
alfisutton,1851,2519
Ali_8k,2002,4160
Ali_F_Hunt,45,262
Ali_Holder,258,452
ali4bs,42,40
aliawcock,30,104
AlibumD,268,255
alice_eliza1,82,152
alice_lilley,393,947
alice_littleone,281,1082
Alice01694315,93,199
AliceCH19,246,355
AliceDermody,481,1211
AliceHoyle12,29,219
alicelmaguire,,
AlicenHaire,170,950
aliceorlik,621,349
alicia_m_hughes,356,656
alicksimmons,1569,634
alidogan_uk,1990,954
alidwight,383,831
alif_lameesa,342,1379
alikelanipalli,29,34
AliMFreeh,,
AliMoirioMilA,905,2421
Alison_C_D,176,1090
alison_mckeown,495,1117
Alison_Statham,747,1060
alison1928,1523,2152
Alison3xoxo,4,15
Alisongsmith64,427,427
AlisonHoneybone,1162,3060
AlisonKMurray,16426,16019
AlisonMc_F,,
AlisonMGordon,1186,2417
AlisonMPeacock,,
AlisonPlant3,63,91
AlisonRam,545,1917
alisonrushton,551,808
AlisonS64339458,38,29
AlisonTaysum,798,2192
AlisonYoga2,965,928
