id,user_followers_count,user_followed_count,number_tweets,Profile
Diamondzgirl,610,721,1,Other
domcoop7,598,1829,0,Other
simonedens,551,671,1,Other
2yews,539,805,1,Other
renee_thaxter,535,308,0,Other
mathswithin10,533,583,1,Other
michael33495998,523,153,1,Other
TashHarpley,512,165,1,Other
LisaForey,502,425,1,Other
ROBANDTHEMOB,501,1626,1,Other
garethdjevans,497,2597,0,Professor/Researcher
amars_innit,495,918,0,Other
florelst,485,468,0,Other
CPatrickPlay,473,532,1,Other
dnky27,472,3326,1,Other
JustJulz8,459,2191,1,Other
SFlinn67,457,725,1,Other
notatoryteacher,452,915,1,Other
AntonWeye,449,422,1,Other
sarahowens0,444,661,1,Other
timjsimmons,428,716,1,Other
jpfuller74,425,518,0,Other
green_woman1,421,787,6,Other
Ustad_Gamedle,421,163,1,Other
crispyhalloumi,417,126,0,Other
FrancoiseGoral,417,300,1,Other
Rami_London,413,1178,1,Other
davinajxyne,406,369,1,Other
22angelaharris1,401,843,1,Other
clarissa_118,396,244,1,Other
croftyemm,391,1111,2,Other
tneal321,387,460,1,Other
Dutts4,378,1784,1,Other
pancakeson,378,281,1,Other
vcxehex,375,358,1,Other
angelabounds131,368,1563,1,Other
shotbylucynorth,365,1043,0,Other
zarahnshit,350,217,1,Other
SimplyAYT_,348,308,1,Other
oliviajjayne,343,111,2,Other
sarah_tlynch,343,1793,3,Other
itsamyturnbull,343,336,0,Other
Aaron_Lee_Twitr,342,1607,1,Other
BOBTAYL01081689,335,521,1,Other
katebxsh,334,333,1,Other
NickyHields,322,855,1,Other
SibbyMcC,321,1016,1,Other
SilvergnomeNo1,316,560,1,Other
_miaseale,314,419,0,Other
aidantaylor02,310,424,2,Other
Vee_raee,306,142,1,Other
duplojo,278,465,1,Other
lonparent_forum,272,155,1,Other
brightonatheart,271,1195,1,Other
travelmad75,271,407,1,Other
andrew_madaras,270,1251,1,Other
sumiyya_iqbal,268,372,1,Other
aledprysw,266,312,1,Other
ollie_a23,263,234,0,Other
alisonwonder2,262,586,1,Other
seanosullivan,262,337,1,Other
stebuckley,256,804,1,Other
BingoNanni,235,1015,1,Other
cktweeet,235,1379,1,Other
TurraloonNS,233,167,1,Other
AurelieElentiya,232,258,1,Other
rayraytee88,231,500,1,Other
oneillb71,225,498,1,Other
helenmcguffog,220,1326,1,Other
clynt1962,219,242,1,Other
judith27128602,218,101,1,Other
Cytokineeight,211,677,1,Other
OlazOmosco,210,512,4,Other
BarrieCurtis11,208,1099,1,Other
Tabunny,208,282,1,Other
nickpchurch,206,587,0,Other
kookiesflowers_,204,321,1,Other
therealkaz01,204,662,2,Other
krisiuzunova,196,273,1,Other
JenLou102,195,529,1,Other
FerreroR0ch,194,358,1,Other
SamBPhilbrick,194,424,1,Other
aileenwilson_,190,294,1,Other
nickyjmad,189,618,1,Other
ssaluaa,189,109,1,Other
elliscli_,183,164,1,Other
RajbinderB,180,48,1,Other
_amy_smith,178,484,1,Other
SHusin13,175,213,1,Other
RhubarbVaselino,171,1559,1,Other
reducedinsayles,168,521,1,Other
Lornaaw,165,313,1,Other
buteramattell,161,366,1,Other
Tamjag_uk,158,92,1,Other
wrinkledbadger,156,190,1,Other
GeorgeBell0561,155,487,1,Other
IMMORTALHAZARD2,153,400,1,Other
umeyorheardofme,153,103,1,Other
AmyLouuSmith,152,478,1,Other
_jjaym,147,123,1,Other
JenniferPinnie,143,404,1,Other
LisaJJ3,140,200,1,Other
beverleyanneste,138,293,1,Other
talprofs,138,466,1,Other
Rohan___11,138,248,0,Other
Mess68G,132,234,1,Other
phoebe612,132,338,1,Other
JaneOdriscoll7,128,372,1,Other
Bodderings,123,439,6,Other
NasWasTaken,123,117,1,Other
Nile___05,123,195,1,Other
TiaM73,123,264,1,Other
TonyPeake9,122,511,1,Other
hideywolsh,120,155,1,Other
GeorgiaMellon,119,187,1,Other
Dazza09,112,988,1,Other
Ifindoubtaskrod,112,265,1,Other
AroCerys,105,223,1,Other
Tasseltine,103,734,1,Other
Frances43689224,102,289,1,Other
aliiii_haider,101,277,1,Other
IffyK2002,100,313,1,Other
satanicmerwitch,98,357,1,Other
AliMFreeh,94,79,1,Other
Haid3rRizvi,94,229,1,Other
asmanotasthmma,91,83,1,Other
JessDuxbury1,91,254,2,Other
_ChrisDotMe,89,161,1,Other
BurdenedBraCup,89,694,1,Other
Foxrunners,88,192,1,Other
svendiggler,87,979,0,Other
Monzonite,86,72,1,Other
Tommywhale1,81,280,1,Other
JamieIdeas,81,157,0,Other
JPMoore27,80,101,1,Other
Flahute66,79,290,1,Other
wasT_G,79,152,1,Other
ClaraDougsie,78,73,1,Other
_PaulWainwright,75,1358,1,Other
mcain_marcus,74,654,1,Other
kevinthwaites,71,831,1,Other
siobhan_broad,71,304,1,Other
laylahigham1,69,186,1,Other
lemon_and_grass,66,315,2,Other
robbcorin,66,27,1,Other
sandraoconnell,66,338,1,Other
AndIlkley,64,76,1,Other
jermgray,63,123,1,Other
GlynWashington1,61,192,1,Other
mccarthydai,59,404,1,Other
mybluekite,59,354,1,Other
2020resultss,57,2,0,Other
chomping45002,57,521,1,Other
OfficialDChalla,57,67,1,Other
razzacha,56,160,2,Other
EthanJakle,52,905,1,Other
josephbassary,51,448,2,Other
markdurno,51,303,1,Other
LTrPTLM____,50,144,1,Other
FischmanGuy,50,27,0,Other
cansc,47,710,1,Other
HuckinMr,47,178,1,Other
meganbsutcliffe,47,556,1,Other
Zed1984Ray,47,411,1,Other
Shirley325000,46,316,1,Other
brookeevelyn17,43,363,1,Other
simrandeepkhj,43,58,1,Other
TatendaMapfaira,42,360,1,Other
Ohloophemmy,40,340,1,Other
chris_leinster,39,257,1,Other
SloTaylor,39,274,1,Other
AmberxWoods,36,421,1,Other
DavidWill_UK,34,176,1,Other
JRoberts2980,34,176,1,Other
libfirmstone,34,304,0,Other
billhummertrout,33,101,0,Other
AkramMwanga,32,92,1,Other
salzo_zx,32,281,1,Other
PrincessPowPow_,31,23,1,Other
MJD273,27,49,1,Other
SuzanneEvans96,27,346,1,Other
angier68_angela,27,162,0,Other
djopa9,26,42,1,Other
aneraser,25,180,1,Other
meena_jazz,25,68,1,Other
uday19438829,25,98,1,Other
iainbharper,24,126,1,Other
nlockwood1000,24,172,1,Other
AnnoyedStudent2,24,27,0,Other
ellamaythomas,23,27,1,Other
kIopptimistic,22,35,0,Other
Lilygharper,22,35,1,Other
WeaselRocking,20,33,1,Other
clairereeves83,19,51,1,Other
_CiaraHiggins,17,182,1,Other
helen_alty,17,43,1,Other
Nafiisaa3,17,53,1,Other
Ruben_R_De_Leon,17,131,1,Other
Annie08240822,16,14,1,Other
Rabz0509,15,97,1,Other
sxjxg,14,186,1,Other
fiefie_124,13,105,1,Other
BaddeleyJan,12,306,1,Other
ShaylenDutt,11,10,1,Other
EvelynCorney,9,48,0,Other
Pause2P,7,30,1,Other
RachaelRoyce,7,52,1,Other
JessGou81491674,6,35,2,Other
Kelly54593802,5,16,2,Other
RyanJoshuaCole2,5,44,1,Other
Weaskwhypodcast,5,54,1,Other
ciaraaaaaaaa12,4,68,1,Other
HoingClaire,4,23,0,Other
LeanneWP,4,13,2,Other
litstudent2,4,2,1,Other
ShirleyAnnesm,4,26,1,Other
snoopsleuth,4,77,0,Other
Alyson28002759,2,4,2,Other
padraigous,2,15,3,Other
RobMcMillan19,2,31,1,Other
PFloppe,1,107,1,Other
elishaleann87,0,0,0,Other
geeceevee,0,0,1,Other
Gregory51611485,0,0,1,Other
MichaeINUFC,0,0,1,Other
shes_saturn,0,0,0,Other
SNPsoosie,0,0,1,Other
thetenniswriter,0,0,1,Other
Jasonmansford,0,0,0,Other
JosephYA155,0,0,0,Other
TracymOshea,0,0,0,Other
