id,user_followers_count,user_followed_count,number_tweets,Profile,
SomervilleOx,6390,772,0,University/School,
StrongerStabler,34461,20345,0,Media organization,
svendiggler,87,979,0,Other,
sxjxg,14,186,1,Other,
Tabunny,208,282,1,Other,
Tamjag_uk,158,92,1,Other,
TashHarpley,512,165,1,Other,
tayfxx,894,1102,1,Other,
tes,344582,1202,0,Media organization,
thedefenderuk,3363,4487,1,Other,
TheMisbourne,873,179,0,University/School,
therealkaz01,204,662,2,Other,
thetenniswriter,0,0,1,Other,
TickPritch,1078,1032,1,Other,
Tommywhale1,81,280,1,Other,
TonyPeake9,122,511,1,Other,
travelmad75,271,407,1,Other,
travisalabanza,25868,1096,0,Artist,
twittwootwiggy,1224,473,1,Other,
TymVirginia,6249,6517,1,Other,
uday19438829,25,98,1,Other,
umeyorheardofme,153,103,1,Other,
UniKent,52521,976,0,University/School,
UniofOxford,731928,1355,0,University/School,
UnpuzzFinance,2554,1837,1,Other,
Vee_raee,306,142,1,Other,
vicderbyshire,149669,1797,0,Journalist,
vjl2,3845,4976,1,Other,
wasT_G,79,152,1,Other,
WeaselRocking,20,33,1,Other,
WelshLibDems,9271,2422,0,Activist,
williamnhutton,59957,196,0,Professor/Researcher,
WinterfellT,8641,5042,0,Other,
WomenEd_Aus,1299,603,1,Other,
wrinkledbadger,156,190,1,Other,
Zed1984Ray,47,411,1,Other,
ZulaikhaIqbal1,705,140,1,Other,
